node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXB5,HOXB6,HOXB8,1.1664079793536400,0.7169402649323490,4.092965072951520,4.418751420043350,5.200778508040890,0.2963821429776950,0.001,0.001,0.001,0.3485915135661170
HOXA3,HOXA9,HOXA13,1.1386549814171800,0.8053743976078410,4.090988473273830,4.818513382189150,2.269119501539500,0.308801254630192,0.001,0.001,0.024,0.3745375097304460
HOXA9,HOXA7,MEF2A,1.112822518526140,0.7878974129393980,4.136470491309340,4.2236754503365000,0.4775185265088420,0.2821572413099980,0.001,0.001,0.283,0.38556405364786200
HOXA9,HOXA3,HOXB8,1.1386549814171800,0.706205820178716,4.383957846031200,4.432213260609620,4.528143102385830,0.3155847875055180,0.001,0.001,0.001,0.3883046319949270
HOXA7,HOXA3,HOXB2,1.0903002525183500,0.6727153365320360,5.4171334361841700,5.6123306676282000,2.384503226348680,0.3050706503081870,0.001,0.001,0.02,0.3890574237025100
HOXA5,HOXA3,KMT2A,1.3332641246712900,1.1002347721680300,3.487204003127090,3.203713267791980,0.937135294394983,0.2474795335479820,0.001,0.002,0.826,0.39588776998533400
HOXA5,HOXA3,MEF2A,1.3332641246712900,0.960994353641136,4.361432437756540,4.66123170440062,0.4280899598163820,0.2862868803642250,0.001,0.001,0.3,0.3959423125017650
HOXB6,HOXB3,HOXB8,0.7937088283347760,0.463981140315984,5.98982405354611,6.823848240876430,7.859818071799850,0.3221513237391570,0.001,0.001,0.001,0.3989713394337520
HOXA5,HOXA3,SIX3,1.3332641246712900,1.0048672323004900,4.838175054727770,4.655035763738330,5.082922985789860,0.3097388383263430,0.001,0.001,0.001,0.4026942293235290
HOXB5,HOXB6,HOXA7,1.1664079793536400,0.6739016950651440,4.41784451341996,3.690739657189570,2.138246901533360,0.3214342897229540,0.001,0.001,0.026,0.40478162182057400
HOXB3,HOXB6,HOXA7,0.7937088283347760,0.4165977658972030,4.761807288664100,4.583085171936700,5.671224667567310,0.2774658425994820,0.001,0.001,0.001,0.40497831539999
HOXA9,HOXA7,FOXO3,1.112822518526140,0.9290594337149380,3.375524421922380,3.0463871983799200,2.0165870468849400,0.2574605051829570,0.001,0.003,0.993,0.40760149150980200
HOXA9,HOXA7,HOXB3,1.112822518526140,0.5689347892697770,3.884501918116830,3.73372254209063,1.282106823553580,0.2699571501750970,0.001,0.001,0.109,0.40887714307308500
HOXA5,HOXA3,GLI3,1.3332641246712900,1.0666991939118700,4.492376425212390,4.896614649743970,0.1545581217271410,0.2918776629203570,0.001,0.001,0.41,0.41380412345181300
HOXA9,HOXA7,VDR,1.112822518526140,0.8935786748224150,3.833652207514740,2.5421724149886,2.9584617652135400,0.2743680411322600,0.001,0.008,0.005,0.4149079981819570
HOXB5,HOXB6,MAX,1.1664079793536400,0.9693848138474860,3.584608275689030,4.020616807966480,2.8764156831072900,0.284104503064335,0.001,0.001,0.005,0.41729439468069300
HOXA7,HOXA9,MAX,1.112822518526140,0.900128981269116,3.840077356413830,4.036436917923710,3.671062494538980,0.2741110786031200,0.001,0.001,0.003,0.41853096817006100
HOXA3,HOXA5,HOXA13,1.3332641246712900,1.0001598748431400,3.1210917731344900,3.7602867301863000,2.0418807999423000,0.2313983167762740,0.001,0.001,0.031,0.4186984377348010
HOXA3,HOXA9,SIX3,1.1386549814171800,0.8795568612868260,4.030500526220490,4.053861143678390,4.879095184735060,0.3005178398554890,0.001,0.001,0.001,0.4190898693559980
HOXA5,HOXA3,POU6F1,1.3332641246712900,1.1160067138772800,3.304963218618490,3.73240787700828,1.5996152329656900,0.2453454804441270,0.001,0.001,0.063,0.4207611460190130
HOXA5,HOXA9,SIX3,1.0201047777773100,0.6917201638681930,2.959258811791180,3.320507249938020,4.186392745804680,0.2623229488125400,0.001,0.001,0.001,0.42169787492302200
HOXA7,HOXA3,MEF2A,1.0903002525183500,0.8096021952289610,5.045672650667720,4.864000455751840,0.6717421343884650,0.2818705213465650,0.001,0.001,0.221,0.42230787298049500
HOXA7,HOXA3,SIX3,1.0903002525183500,0.8494343745478750,4.778532244427760,5.159782010115870,3.272451803066800,0.2717010932380140,0.001,0.001,0.002,0.4239950737957800
HOXB3,HOXB5,HOXB8,0.7697066114185670,0.5072751629671490,5.016091132762220,5.7811629675902800,6.790082949758200,0.2873824492830160,0.001,0.001,0.001,0.4248332665035870
HOXA9,HOXA7,TP63,1.112822518526140,0.8706258588145440,3.2455232874079800,3.0280249013709900,3.5911407152473400,0.2463096532440940,0.001,0.002,0.002,0.42598149710123700
HOXA5,HOXA3,CUX2,1.3332641246712900,1.0420521769854400,3.1978902135851800,3.062151074993540,2.172568005104960,0.237492784026001,0.001,0.002,0.026,0.4276563597097660
HOXB5,HOXB6,UNCX,1.1664079793536400,0.9711241578368310,4.986949133481980,4.854503264451410,4.8111185964050500,0.3452322963556990,0.001,0.001,0.001,0.4281027420894480
HOXB3,HOXB2,HOXA13,1.1451867527707100,0.7801931526233710,3.121051017932360,3.1397879131191800,3.876464048756960,0.2485136910717470,0.001,0.002,0.001,0.42867584867351800
HOXA9,HOXA7,HOXB2,1.112822518526140,0.6894216129127070,4.3551782692652300,4.224016709540080,2.075392967546240,0.2901064764120470,0.001,0.001,0.032,0.4306440619214530
HOXA9,HOXA7,KMT2A,1.112822518526140,0.807988176978688,4.398974061023850,3.940874013385330,1.210368566004300,0.2953964561273550,0.001,0.001,0.907,0.4308804896999450
HOXB6,HOXB5,GLIS3,1.1664079793536400,1.017854739442700,3.430317523941650,3.79543441682867,4.563734770005350,0.2734789506601810,0.001,0.001,0.001,0.43231267295053800
HOXB5,HOXB6,GLI3,1.1664079793536400,0.9070595089593870,3.626570510730060,3.539438353433070,4.485887393996030,0.2785358884768460,0.001,0.001,0.001,0.43254786250028100
HOXB8,HOXB7,RUNX3,0.581465905969365,0.3767188385265990,3.332407128029460,3.564630358335760,1.2597100820938700,0.3065264471728660,0.001,0.001,0.12,0.43291607493379200
HOXA9,HOXA7,GLI3,1.112822518526140,0.8442806747618220,3.559699778394470,3.7933294702744700,3.295480561519610,0.2603588061350950,0.001,0.001,0.002,0.43561386617048300
